group,run,tag,x,value
ted_expressive|vae,vae_logs_ted_expressive_beta1e-4,val/loss,10,0.05839608237147331
ted_expressive|vae,vae_logs_ted_expressive_beta1e-4,val/loss,11,0.058411967009305954
ted_expressive|vae,vae_logs_ted_expressive_beta1e-4,val/loss,12,0.05713716894388199
ted_expressive|vae,vae_logs_ted_expressive_beta1e-4,val/loss,13,0.055672384798526764
ted_expressive|vae,vae_logs_ted_expressive_beta1e-4,val/loss,14,0.05521806329488754
ted_expressive|vae,vae_logs_ted_expressive_beta1e-4,val/loss,15,0.054552651941776276
ted_expressive|vae,vae_logs_ted_expressive_beta1e-4,val/loss,16,0.05407889187335968
ted_expressive|vae,vae_logs_ted_expressive_beta1e-4,val/loss,17,0.054211948066949844
ted_expressive|vae,vae_logs_ted_expressive_beta1e-4,val/loss,18,0.05407232791185379
ted_expressive|vae,vae_logs_ted_expressive_beta1e-4,val/loss,19,0.05351267009973526
ted_expressive|vae,vae_logs_ted_expressive_beta1e-4,val/loss,20,0.053156256675720215
ted_expressive|vae,vae_logs_ted_expressive_beta1e-4,val/loss,21,0.0536312498152256
ted_expressive|vae,vae_logs_ted_expressive_beta1e-4,val/loss,22,0.053842369467020035
ted_expressive|vae,vae_logs_ted_expressive_beta1e-4,val/loss,23,0.053646571934223175
ted_expressive|vae,vae_logs_ted_expressive_beta1e-4,val/loss,24,0.053059715777635574
ted_expressive|vae,vae_logs_ted_expressive_beta1e-4,val/loss,25,0.052979275584220886
ted_expressive|vae,vae_logs_ted_expressive_beta1e-4,val/loss,26,0.05184721201658249
ted_expressive|vae,vae_logs_ted_expressive_beta1e-4,val/loss,27,0.05087829381227493
ted_expressive|vae,vae_logs_ted_expressive_beta1e-4,val/loss,28,0.05056434124708176
ted_expressive|vae,vae_logs_ted_expressive_beta1e-4,val/loss,29,0.05070824921131134
ted_expressive|vae,vae_logs_ted_expressive_beta1e-4,val/loss,30,0.05025200918316841
ted_expressive|vae,vae_logs_ted_expressive_beta1e-4,val/loss,31,0.05027654021978378
ted_expressive|vae,vae_logs_ted_expressive_beta1e-4,val/loss,32,0.04998651519417763
ted_expressive|vae,vae_logs_ted_expressive_beta1e-4,val/loss,33,0.04983881488442421
ted_expressive|vae,vae_logs_ted_expressive_beta1e-4,val/loss,34,0.04978013411164284
ted_expressive|vae,vae_logs_ted_expressive_beta1e-4,val/loss,35,0.04946877434849739
ted_expressive|vae,vae_logs_ted_expressive_beta1e-4,val/loss,36,0.04915574938058853
ted_expressive|vae,vae_logs_ted_expressive_beta1e-4,val/loss,37,0.049334973096847534
ted_expressive|vae,vae_logs_ted_expressive_beta1e-4,val/loss,38,0.049458689987659454
ted_expressive|vae,vae_logs_ted_expressive_beta1e-4,val/loss,39,0.049512848258018494
ted_expressive|vae,vae_logs_ted_expressive_beta1e-4,val/loss,40,0.049475669860839844
ted_expressive|vae,vae_logs_ted_expressive_beta1e-4,val/loss,41,0.04920127987861633
ted_expressive|vae,vae_logs_ted_expressive_beta1e-4,val/loss,42,0.04904422536492348
ted_expressive|vae,vae_logs_ted_expressive_beta1e-4,val/loss,43,0.049478575587272644
ted_expressive|vae,vae_logs_ted_expressive_beta1e-4,val/loss,44,0.049174875020980835
ted_expressive|vae,vae_logs_ted_expressive_beta1e-4,val/loss,45,0.04874882474541664
ted_expressive|vae,vae_logs_ted_expressive_beta1e-4,val/loss,46,0.048394106328487396
ted_expressive|vae,vae_logs_ted_expressive_beta1e-4,val/loss,47,0.04804214462637901
ted_expressive|vae,vae_logs_ted_expressive_beta1e-4,val/loss,48,0.04810880124568939
ted_expressive|vae,vae_logs_ted_expressive_beta1e-4,val/loss,49,0.04796237125992775
ted_expressive|vae,vae_logs_ted_expressive_beta1e-4,val/loss,50,0.048072367906570435
ted_expressive|vae,vae_logs_ted_expressive_beta1e-4,val/loss,51,0.0479707308113575
ted_expressive|vae,vae_logs_ted_expressive_beta1e-4,val/loss,52,0.047856707125902176
ted_expressive|vae,vae_logs_ted_expressive_beta1e-4,val/loss,53,0.04809467867016792
ted_expressive|vae,vae_logs_ted_expressive_beta1e-4,val/loss,54,0.047855883836746216
ted_expressive|vae,vae_logs_ted_expressive_beta1e-4,val/loss,55,0.047905031591653824
ted_expressive|vae,vae_logs_ted_expressive_beta1e-4,val/loss,56,0.047554582357406616
ted_expressive|vae,vae_logs_ted_expressive_beta1e-4,val/loss,57,0.04780002683401108
ted_expressive|vae,vae_logs_ted_expressive_beta1e-4,val/loss,58,0.04771912842988968
ted_expressive|vae,vae_logs_ted_expressive_beta1e-4,val/loss,59,0.047543175518512726
ted_expressive|vae,vae_logs_ted_expressive_beta1e-4,val/loss,60,0.0474543422460556
ted_expressive|vae,vae_logs_ted_expressive_beta1e-4,val/loss,61,0.04724406450986862
ted_expressive|vae,vae_logs_ted_expressive_beta1e-4,val/loss,62,0.04685157909989357
ted_expressive|vae,vae_logs_ted_expressive_beta1e-4,val/loss,63,0.04731607809662819
ted_expressive|vae,vae_logs_ted_expressive_beta1e-4,val/loss,64,0.04674585163593292
